Cite Key,Title,Authors,Year,Publication Date,Journal,Citation Count,Citations/Year,DOI,URL
Dij14,The association between objectively measured physical activity and academic achievement in Dutch adolescents: findings from the GOALS study.,M. V. Van Dijk; R. D. de Groot; H. Savelberg; Frederik van Acker; P. Kirschner,2014,2014-10-01,Journal of sport & exercise psychology,61,5.2,10.1123/jsep.2014-0014,https://doi.org/10.1123/jsep.2014-0014
Don25,Lost in the net? Broadband internet and youth mental health.,Dante Donati; Ruben Durante; Francesco Sobbrio; Dijana Zejcirovic,2025,2025-07-01,Journal of health economics,19,17.7,10.2139/ssrn.4082581,https://doi.org/10.2139/ssrn.4082581
Edw22,Individual differences in self-esteem and social anxiety predict problem smartphone use in adolescents,E. J. Edwards; Caitlin S. Taylor; R. Vaughan,2022,2022-07-03,School Psychology International,14,3.4,10.1177/01430343221111061,https://doi.org/10.1177/01430343221111061
Elh16,"Fear of missing out, need for touch, anxiety and depression are related to problematic smartphone use",J. Elhai; J. Levine; R. Dvorak; B. Hall,2016,2016-10-01,Comput. Hum. Behav.,953,97.0,10.1016/j.chb.2016.05.079,https://doi.org/10.1016/j.chb.2016.05.079
Fam18,Prevalence of internet gaming disorder in adolescents: A meta-analysis across three decades.,J. Fam,2018,2018-07-13,Scandinavian journal of psychology,343,42.7,10.1111/sjop.12459,https://doi.org/10.1111/sjop.12459
Fer24,Do social media experiments prove a link with mental health: A methodological and meta-analytic review.,Christopher J. Ferguson,2024,2024-05-02,Psychology of Popular Media,38,17.0,10.1037/ppm0000541,https://doi.org/10.1037/ppm0000541
Fin26,"Fast Law, Fragile Rights",L. Finlay; P. Hooton,2026,2026-05-20,Griffith Journal of Law &amp; Human Dignity,0,0.0,10.69970/gjlhd.v13i1.1288,https://doi.org/10.69970/gjlhd.v13i1.1288
Fla23,Cascading bidirectional influences of digital media use and mental health in adolescence.,Jessica S. Flannery; M. Maza; Zelal Kilic; E. Telzer,2023,,Advances in child development and behavior,15,5.0,10.1016/bs.acdb.2022.10.003,https://doi.org/10.1016/bs.acdb.2022.10.003
Gen18,Does Gen Z's emotional intelligence promote iCheating (cheating with iPhone) yet curb iCheating through reduced nomophobia?,Elodie Gentina; T. Tang; Pierre-François Dancoine,2018,2018-11-01,Comput. Educ.,59,7.6,10.1016/J.COMPEDU.2018.07.011,https://doi.org/10.1016/J.COMPEDU.2018.07.011
Geo20,"Young Adolescents’ Digital Technology Use, Perceived Impairments, and Wellbeing in a Representative Sample",Madeleine J. George; Michaeline R Jensen; M. Russell; Anna Gassman-Pines; William E. Copeland; R. Hoyle; C. Odgers,2020,2020-02-06,The Journal of pediatrics,80,12.4,10.1016/j.jpeds.2019.12.002,https://doi.org/10.1016/j.jpeds.2019.12.002
Gil07,‘A day in the life’: advancing a methodology for the cultural study of development and learning in early childhood,J. Gillen; C. Cameron; S. Tapanya; G. Pinto; R. Hancock; S. Young; B. A. Gamannossi,2007,2007-01-24,Early Child Development and Care,97,5.0,10.1080/03004430500393763,https://doi.org/10.1080/03004430500393763
Gio21,Adolescents’ selfie-taking and selfie-editing: A revision of the photo manipulation scale and a moderated mediation model,Francesca Gioia; S. McLean; M. Griffiths; Valentina Boursier,2021,2021-04-10,Current Psychology,42,7.9,10.1007/s12144-021-01702-x,https://doi.org/10.1007/s12144-021-01702-x
Gir22,Impact of mobile phones and wireless devices use on children and adolescents’ mental health: a systematic review,B. Girela-Serrano; Alexander D V Spiers; Ruotong Liu; Shivani Gangadia; M. Toledano; Martina Di Simplicio,2022,2022-06-16,European Child & Adolescent Psychiatry,103,25.0,10.1007/s00787-022-02012-8,https://doi.org/10.1007/s00787-022-02012-8
Gra20b,Taking a Break from Social Media Improves Wellbeing Through Sleep Quality,Sarah Graham; A. Mason; Benjamin C. Riordan; T. Winter; D. Scarf,2020,2020-12-31,"Cyberpsychology, Behavior, and Social Networking",50,9.0,10.1089/cyber.2020.0217,https://doi.org/10.1089/cyber.2020.0217
Gre21,Parenting for a digital future: how hopes and fears about technology shape children’s lives,L. Green,2021,2021-10-02,Journal of Children and Media,232,48.2,10.1080/17482798.2021.1978674,https://doi.org/10.1080/17482798.2021.1978674
Gri20,Toward improved methods in social media research.,Nastasia Griffioen; Marieke van Rooij; A. Lichtwarck-Aschoff; I. Granic,2020,2020-06-17,"Technology, Mind, and Behavior",67,11.0,10.1037/tmb0000005,https://doi.org/10.1037/tmb0000005
Gun90,Children and Television: The One-Eyed Monster?,Barrie Gunter; Jill L. McAleer,1990,1990-10-01,,48,1.3,,https://www.semanticscholar.org/paper/c12d740114fcabd80550a57cc2c5a1268560b9ba
Han22b,A systematic review of the impact of COVID-19 on the game addiction of children and adolescents,Tae Sun Han; Heejun Cho; D. Sung; Min-Hyeon Park,2022,2022-08-18,Frontiers in Psychiatry,71,18.0,10.3389/fpsyt.2022.976601,https://doi.org/10.3389/fpsyt.2022.976601
Haw18,"Internet gaming disorder in Lebanon: Relationships with age, sleep habits, and academic achievement",Nazir S. Hawi; Maya Samaha; M. Griffiths,2018,2018-02-28,Journal of Behavioral Addictions,204,24.3,10.1556/2006.7.2018.16,https://doi.org/10.1556/2006.7.2018.16
Hen16,Video Gaming Disorder and Sport and Exercise in Emerging Adulthood: A Longitudinal Study,Y. Henchoz; J. Studer; Stéphane Deline; Alexandra A. N'Goran; Stéphanie Baggio; G. Gmel,2016,2016-04-02,Behavioral Medicine,69,6.7,10.1080/08964289.2014.965127,https://doi.org/10.1080/08964289.2014.965127
Hir03,Information and communication technologies and the moral economy of the household,E. Hirsch; R. Silverstone,2003,2003-09-02,,768,33.5,10.4324/9780203401491-9,https://doi.org/10.4324/9780203401491-9
Jen16,Parent-Pressure,Helle Strandgaard Jensen,2016,2016-06-01,Nordicom Review,4,0.4,10.1515/nor-2016-0001,https://doi.org/10.1515/nor-2016-0001
Jen19,Young Adolescents’ Digital Technology Use and Mental Health Symptoms: Little Evidence of Longitudinal or Daily Linkages,Michaeline R Jensen; Madeleine J. George; M. Russell; C. Odgers,2019,2019-08-20,Clinical psychological science : a journal of the Association for Psychological Science,190,27.4,10.1177/2167702619859336,https://doi.org/10.1177/2167702619859336
Jo20,Protecting Consumers from Themselves: Assessing Consequences of Usage Restriction Laws on Online Game Usage and Spending,Wooyong Jo; Sarang Sunder; Jeonghye Choi; M. Trivedi,2020,2020-01-01,Mark. Sci.,20,3.0,10.1287/mksc.2019.1174,https://doi.org/10.1287/mksc.2019.1174
Kab15,Exposure and Use of Mobile Media Devices by Young Children,Hilda K. Kabali; M. Irigoyen; Rosemary Nunez-Davis; Jennifer G. Budacki; Sweta H. Mohanty; Kristin P. Leister; Robert Bonner,2015,2015-12-01,Pediatrics,999,93.8,10.1542/peds.2015-2151,https://doi.org/10.1542/peds.2015-2151
Kat18,The effects of mobile phone use on academic performance: A meta-analysis,Aaron W. Kates; Huang Wu; Chris L. S. Coryn,2018,2018-12-01,Comput. Educ.,183,23.9,10.1016/J.COMPEDU.2018.08.012,https://doi.org/10.1016/J.COMPEDU.2018.08.012
Kay20,The Conceptual and Methodological Mayhem of “Screen Time”,Linda K Kaye; Amy C. Orben; David A Ellis; Simon C Hunter; S. Houghton,2020,2020-04-23,International Journal of Environmental Research and Public Health,232,37.1,10.3390/ijerph17103661,https://doi.org/10.3390/ijerph17103661
Kel18b,Social Media Use and Adolescent Mental Health: Findings From the UK Millennium Cohort Study,Y. Kelly; Afshin Zilanawala; C. Booker; A. Sacker,2018,2018-12-01,EClinicalMedicine,594,77.6,10.1016/j.eclinm.2018.12.005,https://doi.org/10.1016/j.eclinm.2018.12.005
Ken20,Digital Domesticity,Jenny Kennedy; M. Arnold; Martin R. Gibbs; Bjørn Nansen; R. Wilken,2020,2020-06-18,,16,2.6,10.1093/oso/9780190905781.001.0001,https://doi.org/10.1093/oso/9780190905781.001.0001
Kes20,The impact of banning mobile phones in Swedish secondary schools,Dany Kessel; Hulda Lif Hardardottir; Björn Tyrefors,2020,2020-02-11,Economics of Education Review,44,6.8,10.1016/J.ECONEDUREV.2020.102009,https://doi.org/10.1016/J.ECONEDUREV.2020.102009
Kim05,[Association of Internet addiction with health promotion lifestyle profile and perceived health status in adolescents].,Jungsook Kim; B. Chun,2005,2005-02-01,Journal of preventive medicine and public health = Yebang Uihakhoe chi,48,2.2,,https://www.semanticscholar.org/paper/fbaea7940b548f8f7efada5d7e3b1d23edd104c2
Kin24,"“Phones off while school's on”: Evaluating problematic phone use and the social, wellbeing, and academic effects of banning phones in schools",D. King; M. Radunz; Christina R. Galanis; B. Quinney; Tracey D. Wade,2024,2024-10-21,Journal of Behavioral Addictions,17,9.6,10.1556/2006.2024.00058,https://doi.org/10.1556/2006.2024.00058
Kir17,Policy responses to problematic video game use: A systematic review of current measures and future possibilities,O. Király; M. Griffiths; Daniel L. King; H. Lee; Seung-Yup Lee; Fanni Bányai; Á. Zsila; Z. Takacs; Z. Demetrovics,2017,2017-08-31,Journal of Behavioral Addictions,157,17.6,10.1556/2006.6.2017.050,https://doi.org/10.1556/2006.6.2017.050
Kwo13b,The Smartphone Addiction Scale: Development and Validation of a Short Version for Adolescents,Min Kwon; D. Kim; H. Cho; Soo Yang,2013,2013-12-31,PLoS ONE,1985,157.9,10.1371/journal.pone.0083558,https://doi.org/10.1371/journal.pone.0083558
Kwo17,Smart Device Use and Perceived Physical and Psychosocial Outcomes among Hong Kong Adolescents,S. W. Kwok; P. Lee; R. Lee,2017,2017-02-01,International Journal of Environmental Research and Public Health,55,5.8,10.3390/ijerph14020205,https://doi.org/10.3390/ijerph14020205
Laf22,Children’s Vulnerability to Digital Technology within the Family: A Scoping Review,Tove Lafton; Halla B. Holmarsdottir; Olaf Kapella; M. Sisask; L.V.  Zinoveva,2022,2022-12-31,Societies,18,5.0,10.3390/soc13010011,https://doi.org/10.3390/soc13010011
Lav20,#Online harms or benefits? An ethnographic analysis of the positives and negatives of peer-support around self-harm on social media.,Anna C Lavis; Rachel Winter,2020,2020-05-27,"Journal of child psychology and psychiatry, and allied disciplines",138,22.4,10.1111/jcpp.13245,https://doi.org/10.1111/jcpp.13245
Lee16,Smartphone Addiction and Application Usage in Korean Adolescents: Effects of Mediation Strategies,Sook-Jung Lee; Chang-ho Lee; Cheolhan Lee,2016,2016-04-15,Social Behavior and Personality,48,4.7,10.2224/SBP.2016.44.9.1525,https://doi.org/10.2224/SBP.2016.44.9.1525
Lei18,"Parents, Media and Panic through the Years",Karen Leick,2018,2018-08-27,,7,0.9,10.1007/978-3-319-98319-6,https://doi.org/10.1007/978-3-319-98319-6
Leo21b,Are There Differences in Video Gaming and Use of Social Media among Boys and Girls?—A Mixed Methods Approach,Marja Leonhardt; Stian Overå,2021,2021-06-01,International Journal of Environmental Research and Public Health,174,33.8,10.3390/ijerph18116085,https://doi.org/10.3390/ijerph18116085
